
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  UDP    0.0.0.0:55630          142.250.197.110:443                    2664
  UDP    0.0.0.0:57230          59.153.239.79:443                      2664
  UDP    0.0.0.0:57265          *:*                                    12224
  UDP    0.0.0.0:59110          216.239.34.223:443                     2664
  UDP    0.0.0.0:62969          142.250.199.206:443                    2664
  UDP    0.0.0.0:63557          104.26.3.195:443                       2664
  UDP    0.0.0.0:63827          160.79.104.10:443                      14004
  UDP    0.0.0.0:64147          *:*                                    2172
  UDP    0.0.0.0:65371          *:*                                    2172
  UDP    127.0.0.1:1900         *:*                                    5884
  UDP    127.0.0.1:58286        *:*                                    5884
  UDP    127.0.0.1:62459        127.0.0.1:62459                        12420
  UDP    192.168.0.126:137      *:*                                    4
  UDP    192.168.0.126:138      *:*                                    4
  UDP    192.168.0.126:1900     *:*                                    5884
  UDP    192.168.0.126:5353     *:*                                    12224
  UDP    192.168.0.126:58285    *:*                                    5884
  UDP    192.168.126.1:137      *:*                                    4
  UDP    192.168.126.1:138      *:*                                    4
  UDP    192.168.126.1:1900     *:*                                    5884
  UDP    192.168.126.1:5353     *:*                                    12224
  UDP    192.168.126.1:58283    *:*                                    5884
  UDP    192.168.164.1:137      *:*                                    4
  UDP    192.168.164.1:138      *:*                                    4
  UDP    192.168.164.1:1900     *:*                                    5884
  UDP    192.168.164.1:5353     *:*                                    12224
  UDP    192.168.164.1:58284    *:*                                    5884
  UDP    [::]:123               *:*                                    5488
  UDP    [::]:5353              *:*                                    15240
  UDP    [::]:5353              *:*                                    15240
  UDP    [::]:5353              *:*                                    15240
  UDP    [::]:5353              *:*                                    2172
  UDP    [::]:5355              *:*                                    2172
  UDP    [::]:57266             *:*                                    12224
  UDP    [::]:64147             *:*                                    2172
  UDP    [::]:65371             *:*                                    2172
  UDP    [::1]:1900             *:*                                    5884
  UDP    [::1]:5353             *:*                                    12224
  UDP    [::1]:58282            *:*                                    5884
  UDP    [fe80::533f:cfef:2a27:a19c%12]:1900  *:*                                    5884
  UDP    [fe80::533f:cfef:2a27:a19c%12]:58281  *:*                                    5884
  UDP    [fe80::5375:8f6b:5912:2a50%20]:1900  *:*                                    5884
  UDP    [fe80::5375:8f6b:5912:2a50%20]:58280  *:*                                    5884
  UDP    [fe80::9590:cb3d:5439:b5d5%9]:1900  *:*                                    5884
  UDP    [fe80::9590:cb3d:5439:b5d5%9]:58279  *:*                                    5884
